ingredient,qty,unit,portions_per_batch,notes
long-grain white rice,1.5,lb,3 qt,~4 cups dry. SOURCE: usda_myplate (Spanish Rice / Mexican Rice II). chef_approved 2026-04-28 sburdges
yellow onion,1,lb,3 qt,medium dice. SOURCE: usda_myplate. chef_approved 2026-04-28 sburdges
garlic,4,clove,3 qt,minced. SOURCE: usda_myplate. chef_approved 2026-04-28 sburdges
vegetable oil,4,tbsp,3 qt,for sauteing rice + aromatics. SOURCE: usda_myplate. chef_approved 2026-04-28 sburdges
canned diced tomatoes,4,cup,3 qt,with juice; ~32 oz can. SOURCE: usda_myplate. chef_approved 2026-04-28 sburdges
chicken stock,2,qt,3 qt,low-sodium; vegetable stock acceptable substitute. SOURCE: usda_myplate. chef_approved 2026-04-28 sburdges
ground cumin,2,tsp,3 qt,SOURCE: usda_myplate. chef_approved 2026-04-28 sburdges
kosher salt,1,tbsp,3 qt,to taste. SOURCE: usda_myplate. chef_approved 2026-04-28 sburdges
black pepper,1,tsp,3 qt,SOURCE: usda_myplate. chef_approved 2026-04-28 sburdges
